source_dataset	dataset_role	word	generated_from	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	own_context_win_rate	weighted_own_context_win_rate	weighted_own_context_log_prob_advantage	top1_own_context_win_rate	top1_mean_own_context_log_prob_advantage	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
not	meaning_control	not	P	1500	30	50.0	11.249477957963943	8.357086598873138	0.2529948622016931	0.946	0.8821847579255812	7.305353273230931	0.9666666666666667	11.25871733824412	50.0	50	25.819333333333333
not	meaning_control	not	P_prime	1500	30	50.0	15.38016785399119	11.509329915046692	0.3229126591510759	0.944	0.9175227738654305	11.190618351455063	1.0	16.85279548962911	50.0	50	25.538
only	discourse_particle	only	P	1500	30	50.0	1.493025105158488	1.0103821754455566	0.03484331910549249	0.7793333333333333	0.7726504255836327	1.0629194680821075	0.8666666666666667	2.192396573225657	50.0	50	25.616
only	discourse_particle	only	P_prime	1500	30	50.0	1.5460137269496919	0.7153752446174622	0.03684422564749817	0.7433333333333333	0.7301376977340379	0.9363677507412054	0.7666666666666667	1.656995987892151	50.0	50	25.595333333333333
