particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	effect_score_mean	effect_score_mean_ci_low	effect_score_mean_ci_high	method	run_label	run_label_pretty	run_dir	native_particle	effect_score_original_mean	effect_score_original_ci_low	effect_score_original_ci_high	metric_sign_convention
nonexclusive_just_to_only	attn	utterance_final	prompt_without	necessity	gold	10	random_mean	0.0072237476998025	0.0019258868208974	0.0125216085787076	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		-0.0072237476998025	-0.0125216085787076	-0.0019258868208974	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	1	localized	-0.003644030580967	-0.0037186525905257	-0.0035694085714084	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.003644030580967	0.0035694085714084	0.0037186525905257	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	1	random_mean	-0.001156095150305	-0.0021253177258562	-0.0001868725747537	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.001156095150305	0.0001868725747537	0.0021253177258562	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	3	localized	-0.0090261648854935	-0.0102482578853465	-0.0078040718856405	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0090261648854935	0.0078040718856405	0.0102482578853465	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	3	random_mean	-0.0023494479870573	-0.0024174755746141	-0.0022814203995004	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0023494479870573	0.0022814203995004	0.0024174755746141	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	5	localized	-0.014893532058033	-0.0172396762622426	-0.0125473878538234	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.014893532058033	0.0125473878538234	0.0172396762622426	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	5	random_mean	-0.001731449581608	-0.0021539925651439	-0.0013089065980721	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.001731449581608	0.0013089065980721	0.0021539925651439	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	10	localized	-0.0180371461122235	-0.0185767096920968	-0.0174975825323502	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0180371461122235	0.0174975825323502	0.0185767096920968	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	10	random_mean	-0.0018011307681015	-0.0033246378870864	-0.0002776236491165	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0018011307681015	0.0002776236491165	0.0033246378870864	patched_minus_baseline
nonexclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	1	localized	0.0065895386147581	0.005678086038055	0.0075009911914612	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		-0.0065895386147581	-0.0075009911914612	-0.005678086038055	patched_minus_baseline
