particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	effect_score_mean	effect_score_mean_ci_low	effect_score_mean_ci_high	method	run_label	run_label_pretty	run_dir	effect_score_original_mean	effect_score_original_ci_low	effect_score_original_ci_high	metric_sign_convention
not	attn	utterance_final	prompt_without	necessity	generated	1	localized	-0.0018591631348451	-0.0026125373786281	-0.0011057888910621	component	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0018591631348451	0.0011057888910621	0.0026125373786281	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	generated	1	random_mean	-0.0006669233258996	-0.0012413989835752	-9.244766822406196e-05	component	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0006669233258996	9.244766822406196e-05	0.0012413989835752	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	generated	3	localized	-0.0083706054862487	-0.0092073680125841	-0.0075338429599134	component	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0083706054862487	0.0075338429599134	0.0092073680125841	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	generated	3	random_mean	-0.001200925888739	-0.0018780711841793	-0.0005237805932988	component	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.001200925888739	0.0005237805932988	0.0018780711841793	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	generated	5	localized	-0.0139255040668496	-0.0155850163696643	-0.012265991764035	component	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0139255040668496	0.012265991764035	0.0155850163696643	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	generated	5	random_mean	-0.0016546031255472	-0.0022315781768069	-0.0010776280742875	component	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0016546031255472	0.0010776280742875	0.0022315781768069	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	generated	10	localized	-0.0297384121899863	-0.0354852773139623	-0.0239915470660103	component	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0297384121899863	0.0239915470660103	0.0354852773139623	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	generated	10	random_mean	-0.0016210991475986	-0.0018169515963366	-0.0014252466988607	component	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0016210991475986	0.0014252466988607	0.0018169515963366	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	gold	1	localized	-0.0012839555623733	-0.001533538295122	-0.0010343728296246	component	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0012839555623733	0.0010343728296246	0.001533538295122	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	gold	1	random_mean	8.64223942146279e-05	-7.401918992495331e-06	0.0001802467074217	component	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	-8.64223942146279e-05	-0.0001802467074217	7.401918992495331e-06	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	gold	3	localized	-0.0031744025775997	-0.0053108412284419	-0.0010379639267574	component	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0031744025775997	0.0010379639267574	0.0053108412284419	patched_minus_baseline
not	attn	utterance_final	prompt_without	necessity	gold	3	random_mean	0.0001930561371023	-1.5954590798430584e-05	0.0004020668650031	component	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	-0.0001930561371023	-0.0004020668650031	1.5954590798430584e-05	patched_minus_baseline
