mask_percent	fold_i	fold_j	intersection_count	jaccard	selected_units	total_units	expected_random_intersection	expected_random_jaccard
0.5	0	0	656	1.0	656	131072	3.283203125	0.0025087193293764913
0.5	0	1	376	0.4017094017094017	656	131072	3.283203125	0.0025087193293764913
0.5	0	2	383	0.41227125941872983	656	131072	3.283203125	0.0025087193293764913
0.5	0	3	377	0.4032085561497326	656	131072	3.283203125	0.0025087193293764913
0.5	0	4	386	0.4168466522678186	656	131072	3.283203125	0.0025087193293764913
0.5	1	0	376	0.4017094017094017	656	131072	3.283203125	0.0025087193293764913
0.5	1	1	656	1.0	656	131072	3.283203125	0.0025087193293764913
0.5	1	2	427	0.4824858757062147	656	131072	3.283203125	0.0025087193293764913
0.5	1	3	388	0.4199134199134199	656	131072	3.283203125	0.0025087193293764913
0.5	1	4	436	0.4977168949771689	656	131072	3.283203125	0.0025087193293764913
0.5	2	0	383	0.41227125941872983	656	131072	3.283203125	0.0025087193293764913
0.5	2	1	427	0.4824858757062147	656	131072	3.283203125	0.0025087193293764913
0.5	2	2	656	1.0	656	131072	3.283203125	0.0025087193293764913
0.5	2	3	396	0.43231441048034935	656	131072	3.283203125	0.0025087193293764913
0.5	2	4	435	0.4960091220068415	656	131072	3.283203125	0.0025087193293764913
0.5	3	0	377	0.4032085561497326	656	131072	3.283203125	0.0025087193293764913
0.5	3	1	388	0.4199134199134199	656	131072	3.283203125	0.0025087193293764913
0.5	3	2	396	0.43231441048034935	656	131072	3.283203125	0.0025087193293764913
0.5	3	3	656	1.0	656	131072	3.283203125	0.0025087193293764913
0.5	3	4	389	0.42145178764897073	656	131072	3.283203125	0.0025087193293764913
0.5	4	0	386	0.4168466522678186	656	131072	3.283203125	0.0025087193293764913
0.5	4	1	436	0.4977168949771689	656	131072	3.283203125	0.0025087193293764913
0.5	4	2	435	0.4960091220068415	656	131072	3.283203125	0.0025087193293764913
0.5	4	3	389	0.42145178764897073	656	131072	3.283203125	0.0025087193293764913
0.5	4	4	656	1.0	656	131072	3.283203125	0.0025087193293764913
1.0	0	0	1311	1.0	1311	131072	13.112800598144531	0.0050262045063316375
1.0	0	1	773	0.41806381828015143	1311	131072	13.112800598144531	0.0050262045063316375
1.0	0	2	796	0.4359255202628697	1311	131072	13.112800598144531	0.0050262045063316375
1.0	0	3	759	0.4074074074074074	1311	131072	13.112800598144531	0.0050262045063316375
1.0	0	4	793	0.4335702569710224	1311	131072	13.112800598144531	0.0050262045063316375
1.0	1	0	773	0.41806381828015143	1311	131072	13.112800598144531	0.0050262045063316375
1.0	1	1	1311	1.0	1311	131072	13.112800598144531	0.0050262045063316375
1.0	1	2	906	0.527972027972028	1311	131072	13.112800598144531	0.0050262045063316375
1.0	1	3	809	0.44622173193601766	1311	131072	13.112800598144531	0.0050262045063316375
1.0	1	4	911	0.532437171244886	1311	131072	13.112800598144531	0.0050262045063316375
1.0	2	0	796	0.4359255202628697	1311	131072	13.112800598144531	0.0050262045063316375
1.0	2	1	906	0.527972027972028	1311	131072	13.112800598144531	0.0050262045063316375
1.0	2	2	1311	1.0	1311	131072	13.112800598144531	0.0050262045063316375
1.0	2	3	792	0.43278688524590164	1311	131072	13.112800598144531	0.0050262045063316375
1.0	2	4	902	0.5244186046511627	1311	131072	13.112800598144531	0.0050262045063316375
1.0	3	0	759	0.4074074074074074	1311	131072	13.112800598144531	0.0050262045063316375
1.0	3	1	809	0.44622173193601766	1311	131072	13.112800598144531	0.0050262045063316375
1.0	3	2	792	0.43278688524590164	1311	131072	13.112800598144531	0.0050262045063316375
1.0	3	3	1311	1.0	1311	131072	13.112800598144531	0.0050262045063316375
1.0	3	4	798	0.4375	1311	131072	13.112800598144531	0.0050262045063316375
1.0	4	0	793	0.4335702569710224	1311	131072	13.112800598144531	0.0050262045063316375
1.0	4	1	911	0.532437171244886	1311	131072	13.112800598144531	0.0050262045063316375
1.0	4	2	902	0.5244186046511627	1311	131072	13.112800598144531	0.0050262045063316375
1.0	4	3	798	0.4375	1311	131072	13.112800598144531	0.0050262045063316375
1.0	4	4	1311	1.0	1311	131072	13.112800598144531	0.0050262045063316375
5.0	0	0	6554	1.0	6554	131072	327.7200012207031	0.02564263077585195
5.0	0	1	4645	0.5488597424081295	6554	131072	327.7200012207031	0.02564263077585195
5.0	0	2	4599	0.5404865436596544	6554	131072	327.7200012207031	0.02564263077585195
5.0	0	3	4346	0.4960054782013239	6554	131072	327.7200012207031	0.02564263077585195
5.0	0	4	4645	0.5488597424081295	6554	131072	327.7200012207031	0.02564263077585195
5.0	1	0	4645	0.5488597424081295	6554	131072	327.7200012207031	0.02564263077585195
5.0	1	1	6554	1.0	6554	131072	327.7200012207031	0.02564263077585195
5.0	1	2	4847	0.5867328410604044	6554	131072	327.7200012207031	0.02564263077585195
5.0	1	3	4586	0.5381365876554799	6554	131072	327.7200012207031	0.02564263077585195
5.0	1	4	4925	0.6018575094708543	6554	131072	327.7200012207031	0.02564263077585195
5.0	2	0	4599	0.5404865436596544	6554	131072	327.7200012207031	0.02564263077585195
5.0	2	1	4847	0.5867328410604044	6554	131072	327.7200012207031	0.02564263077585195
5.0	2	2	6554	1.0	6554	131072	327.7200012207031	0.02564263077585195
5.0	2	3	4395	0.5044186847239757	6554	131072	327.7200012207031	0.02564263077585195
5.0	2	4	4808	0.5792771084337349	6554	131072	327.7200012207031	0.02564263077585195
5.0	3	0	4346	0.4960054782013239	6554	131072	327.7200012207031	0.02564263077585195
5.0	3	1	4586	0.5381365876554799	6554	131072	327.7200012207031	0.02564263077585195
5.0	3	2	4395	0.5044186847239757	6554	131072	327.7200012207031	0.02564263077585195
5.0	3	3	6554	1.0	6554	131072	327.7200012207031	0.02564263077585195
5.0	3	4	4472	0.5178323297823066	6554	131072	327.7200012207031	0.02564263077585195
5.0	4	0	4645	0.5488597424081295	6554	131072	327.7200012207031	0.02564263077585195
5.0	4	1	4925	0.6018575094708543	6554	131072	327.7200012207031	0.02564263077585195
5.0	4	2	4808	0.5792771084337349	6554	131072	327.7200012207031	0.02564263077585195
5.0	4	3	4472	0.5178323297823066	6554	131072	327.7200012207031	0.02564263077585195
5.0	4	4	6554	1.0	6554	131072	327.7200012207031	0.02564263077585195
