source_dataset	dataset_role	source_row_index	id	word	subset	p_candidate_count	p_prime_candidate_count	exact_overlap_count	exact_overlap_jaccard	p_win_rate	p_weighted_win_rate	p_mean_advantage	p_weighted_advantage	p_top1_win	p_top1_advantage	p_prime_win_rate	p_prime_weighted_win_rate	p_prime_mean_advantage	p_prime_weighted_advantage	p_prime_top1_win	p_prime_top1_advantage	both_mean_advantages_positive	both_top1_own_context_wins	source_file	model_dir	model_label	model_order	condition	condition_label
just	discourse_particle	14	8242	just	h	50	50	0	0.0	0.6	0.7093165919615683	0.0897991561889648	0.1019476673313548	1.0	0.14599609375	0.54	0.7228011545013361	0.0201057052612304	0.0429339297694315	0.0	-0.1389102935791015	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	15	8890	just	h	50	50	0	0.0	0.52	0.9779336678936192	0.1204453659057617	0.1557140378808694	0.0	-1.1054534912109375	0.48	2.0533571706322503e-05	-0.0345327281951904	-0.1076867011957652	1.0	0.237060546875	False	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	16	10613	just	h	50	50	4	0.0416666666666666	0.74	0.3778762168888472	0.2132972621917724	-0.0140139692344145	1.0	0.12109375	0.56	0.602844951129645	0.0497724151611328	0.0335161453356999	0.0	-0.1328125	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	17	6323	just	h	50	50	0	0.0	0.68	0.0019787368037131	0.0732955932617187	-0.1680396242237535	0.0	-0.1431198120117187	0.42	0.0135629876433097	-0.0263107800483703	-0.077924253088254	1.0	0.0106544494628906	False	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	18	4012	just	h	50	50	0	0.0	0.64	0.0014686487383918	0.1815301442146301	-0.0106608437700594	1.0	0.04833984375	0.5	0.9019178912372456	0.1505740547180175	0.0197220127422964	0.0	-0.08209228515625	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	19	9268	just	h	50	50	0	0.0	0.64	0.0602981300462602	0.1085846972465515	-0.1022115221005397	1.0	0.33154296875	0.6	0.2104379135852893	0.029655692577362	0.0773330097057202	0.0	-0.13214111328125	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	20	788	just	h	50	50	2	0.0204081632653061	0.54	0.2330726113315851	0.0581303882598876	-0.0398365999951852	0.0	-0.08544921875	0.56	0.95792856076407	0.0209723711013793	0.0679855413683971	1.0	0.30474853515625	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	21	5758	just	h	50	50	0	0.0	0.72	0.2870992083497584	0.2466010284423828	-0.0767767210157878	0.0	-0.5862884521484375	0.64	0.9987986731045848	0.0784909057617187	0.4296697866661941	0.0	-0.55706787109375	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	22	7873	just	h	50	50	0	0.0	0.52	0.0063043628301046	0.0216280364990234	-0.9505973308413098	0.0	-0.7728424072265625	0.56	0.7486986147355204	0.2479565334320068	0.0421911713202688	0.0	-0.409423828125	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	23	2141	just	h	50	50	0	0.0	0.72	0.9888977478666704	0.1870204925537109	0.3542576992023697	1.0	1.5161809921264648	0.54	0.4101136992869763	0.1376280975341796	-0.0527811909831812	1.0	0.1070404052734375	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	24	5388	just	h	50	50	0	0.0	0.68	0.3043738696563114	0.3429004836082459	0.1104126868534472	1.0	0.0304718017578125	0.4	0.0339574984478298	-0.1033443450927734	-0.0764357681613279	0.0	-0.2607192993164062	False	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	25	1001	just	h	50	50	0	0.0	0.78	0.9986861484721996	0.295047721862793	0.0098132205587069	1.0	0.23828125	0.56	0.0102940577719023	0.2182997488975525	-0.4351760256838075	0.0	-0.1912841796875	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	26	9687	just	h	50	50	0	0.0	0.76	0.0561619621461316	0.4095289802551269	-0.0417548794946385	1.0	1.5565185546875	0.56	0.0196439115183181	0.1948127937316894	-0.2918826106953549	1.0	0.6993408203125	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	27	6768	just	h	50	50	0	0.0	0.64	0.7025084408810012	0.093383560180664	0.1062386276377459	1.0	0.0478878021240234	0.58	0.99287032911994	0.1062009525299072	0.0146015793459798	0.0	-0.0096435546875	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	28	12662	just	h	50	50	1	0.0101010101010101	0.72	0.970454491650561	2.1393624114990235	3.266422457089586	1.0	4.819942474365234	0.72	0.1879151212418385	1.0045775580406189	0.0026401999756146	1.0	1.47021484375	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	29	1461	just	h	50	50	3	0.0309278350515463	0.74	0.3465365288834119	0.1954089546203613	0.0782377033306209	1.0	0.2281532287597656	0.56	0.9503504323658942	0.0398831796646118	0.0556527618997217	1.0	0.384429931640625	True	True	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	30	10555	just	h	50	50	0	0.0	0.62	0.2930431095490701	0.0928528785705566	-0.003431310523126	0.0	-0.1513900756835937	0.52	0.5450924827337513	0.007133617401123	0.0241716164067023	0.0	-0.154571533203125	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	31	2164	just	h	50	50	0	0.0	0.66	0.3007831025092706	0.2161041688919067	0.0097023360263642	1.0	0.16058349609375	0.58	0.999718675822036	0.0051030540466308	0.3563294222946218	0.0	-0.359130859375	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	32	6675	just	h	50	50	0	0.0	0.64	0.914979734093562	0.3969069194793701	0.2107606728604356	0.0	-0.49005126953125	0.48	0.9579501752834284	-0.0333161544799804	0.0646855906862827	0.0	-0.3933258056640625	False	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
just	discourse_particle	33	8011	just	h	50	50	0	0.0	0.68	0.8958668768769169	0.0638984394073486	0.1131143708646426	0.0	-0.2974510192871094	0.54	0.2514318020001925	0.0320409393310546	-0.0849918982851087	1.0	0.4412384033203125	True	False	generation/results/llama3/Meta-Llama-3-8B_context_just_generation_paired_item_summary.tsv	llama3	Llama 3 8B	0	just	just
