source_model	word	generated_from	n	estimate	statistic	p_value	parameter	conf_low	conf_high	method	alternative	effect_size	short	family	instruction	model_order
gemma-2-9b	not	P_prime	1500	0.07928303896261198	17.47327549048653	2.2671778301033845e-62	1499.0	0.07038273451878624	0.08818334340643771	One Sample t-test	two-sided	0.45115803318899034	Gemma2-9B	Gemma2	False	4
gemma-2-9b	only	P	1500	0.012322148824457192	6.724690210428371	2.4947583180790755e-11	1499.0	0.008727859230086368	0.015916438418828015	One Sample t-test	two-sided	0.17363075462262087	Gemma2-9B	Gemma2	False	4
gemma-2-9b	only	P_prime	1500	0.015818678178603923	10.074404683324182	3.8343312715037407e-23	1499.0	0.012738685412435238	0.018898670944772607	One Sample t-test	two-sided	0.26012001040979044	Gemma2-9B	Gemma2	False	4
gemma-2-9b-it	just	P	2000	-0.0005763948060990316	-0.23607082990504916	0.8134018928780828	1999.0	-0.005364777568233226	0.004211987956035164	One Sample t-test	two-sided	-0.005278704231724802	Gemma2-9B-I	Gemma2	True	5
gemma-2-9b-it	just	P_prime	2000	0.04406612932444033	18.175112467986402	1.942760990832558e-68	1999.0	0.039311256293626	0.04882100235525466	One Sample t-test	two-sided	0.4064078697712157	Gemma2-9B-I	Gemma2	True	5
gemma-2-9b-it	not	P	1500	0.23390371931184745	16.404144344728653	9.52518605456155e-56	1499.0	0.20593436480792	0.2618730738157749	One Sample t-test	two-sided	0.42355318570611106	Gemma2-9B-I	Gemma2	True	5
gemma-2-9b-it	not	P_prime	1500	0.3869259368363767	26.1214120423142	2.8683103072696857e-124	1499.0	0.3578703205839767	0.4159815530887767	One Sample t-test	two-sided	0.6744519587953651	Gemma2-9B-I	Gemma2	True	5
gemma-2-9b-it	only	P	1500	0.03677505289613823	7.212411164351789	8.690476901493974e-13	1499.0	0.026773401180789153	0.04677670461148731	One Sample t-test	two-sided	0.18622365550356618	Gemma2-9B-I	Gemma2	True	5
gemma-2-9b-it	only	P_prime	1500	0.06430057440612105	15.858731497779448	1.766071472559589e-52	1499.0	0.05634731213130426	0.07225383668093785	One Sample t-test	two-sided	0.4094706865524987	Gemma2-9B-I	Gemma2	True	5
Qwen3.5-9B	just	P	2000	0.0140586606307015	7.338342170027764	3.129162766240938e-13	1999.0	0.010301522898121243	0.01781579836328176	One Sample t-test	two-sided	0.16409031934335402	Qwen3.5-9B	Qwen3.5	False	6
