source_dataset	dataset_role	word	generated_from	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	own_context_win_rate	weighted_own_context_win_rate	weighted_own_context_log_prob_advantage	top1_own_context_win_rate	top1_mean_own_context_log_prob_advantage	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
only	discourse_particle	only	P	1500	30	50.0	0.24278397568066915	0.132080078125	0.020113483599242653	0.616	0.4267144747565066	0.014741088838380509	0.6	0.18869240283966066	50.0	50	26.704666666666668
only	discourse_particle	only	P_prime	1500	30	50.0	0.19854661138852436	0.13576507568359375	0.01908263646512633	0.6173333333333333	0.611928121206487	0.1181394192757985	0.6666666666666666	0.3085248430569967	50.0	50	26.740666666666666
