particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	n_folds	train_folds	mean_items_per_fold	mean_member_targets_per_item	mean_selected_sites	baseline_log_prob_mean	baseline_log_prob_mean_sd	baseline_log_prob_mean_ci_low	baseline_log_prob_mean_ci_high	reference_log_prob_mean	reference_log_prob_mean_sd	reference_log_prob_mean_ci_low	reference_log_prob_mean_ci_high	patched_log_prob_mean	patched_log_prob_mean_sd	patched_log_prob_mean_ci_low	patched_log_prob_mean_ci_high	baseline_log_prob_per_token_mean	baseline_log_prob_per_token_mean_sd	baseline_log_prob_per_token_mean_ci_low	baseline_log_prob_per_token_mean_ci_high	reference_log_prob_per_token_mean	reference_log_prob_per_token_mean_sd	reference_log_prob_per_token_mean_ci_low	reference_log_prob_per_token_mean_ci_high	patched_log_prob_per_token_mean	patched_log_prob_per_token_mean_sd	patched_log_prob_per_token_mean_ci_low	patched_log_prob_per_token_mean_ci_high	patched_metric_change_mean	patched_metric_change_mean_sd	patched_metric_change_mean_ci_low	patched_metric_change_mean_ci_high	effect_score_mean	effect_score_mean_sd	effect_score_mean_ci_low	effect_score_mean_ci_high	normalized_effect_mean	normalized_effect_mean_sd	normalized_effect_mean_ci_low	normalized_effect_mean_ci_high	effect_positive_fraction	effect_positive_fraction_sd	effect_positive_fraction_ci_low	effect_positive_fraction_ci_high	localized_stronger_than_random_mean_fraction	localized_stronger_than_random_mean_fraction_sd	localized_stronger_than_random_mean_fraction_ci_low	localized_stronger_than_random_mean_fraction_ci_high	localized_random_cdf_mean	localized_random_cdf_mean_sd	localized_random_cdf_mean_ci_low	localized_random_cdf_mean_ci_high	localized_stronger_than_random_mean_fraction_items	patched_metric_change_localized_minus_random_mean_mean	effect_score_localized_minus_random_mean_mean	normalized_effect_localized_minus_random_mean_mean	source_path	direction	group	condition	effect_score_original_mean	effect_score_original_ci_low	effect_score_original_ci_high	metric_sign_convention
exclusive_just_to_only	attn	utterance_final	prompt_without	necessity	gold	1	localized	2	0,1	28.5	1.0	1.0	-24.511046777511467	0.9788044025299012	-25.203166007995605	-23.818927547027325	-24.893282067305936	0.90102333121471	-25.53040177481515	-24.25616235979672	-24.52860998050333	0.9791017960911124	-25.22093949999128	-23.83628046101537	-2.0329566609329666	0.2305680489148546	-2.195992891845612	-1.8699204300203212	-2.065469922442567	0.2293917529844469	-2.227674386526139	-1.9032654583589952	-2.034200440620516	0.2307662366542653	-2.197376811427646	-1.871024069813385	-0.0012437796875493	0.0001981877394107	-0.0013839195820347	-0.0011036397930639	-0.0012437796875493	0.0001981877394107	-0.0013839195820347	-0.0011036397930639	-257.36553146861394	280.23776119257764	-455.5235527524218	-59.207510184806	0.5979064039408868	0.114077571841672	0.5172413793103449	0.6785714285714286	0.5270935960591133	0.0626991234549647	0.4827586206896552	0.5714285714285714	0.5363300492610837	0.1001444332961243	0.4655172413793103	0.6071428571428571	0.5263157894736842	-0.0012689337262516	0.0012689337262516	32.14959779945124	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0012437796875493	0.0011036397930639	0.0013839195820347	patched_minus_baseline
exclusive_just_to_only	attn	utterance_final	prompt_without	necessity	gold	3	localized	2	0,1	28.5	1.0	3.0	-24.511046777511467	0.9788044025299012	-25.203166007995605	-23.818927547027325	-24.893282067305936	0.90102333121471	-25.53040177481515	-24.25616235979672	-24.540545992076105	0.9832759801046016	-25.23582710538592	-23.84526487876629	-2.0329566609329666	0.2305680489148546	-2.195992891845612	-1.8699204300203212	-2.065469922442567	0.2293917529844469	-2.227674386526139	-1.9032654583589952	-2.036337467670964	0.2328370998189376	-2.2009781598647438	-1.871696775477184	-0.0033808067379968	0.0022690509040829	-0.0049852680191313	-0.0017763454568623	-0.0033808067379968	0.0022690509040829	-0.0049852680191313	-0.0017763454568623	-1479.514308116785	596.0553694018287	-1900.9891017834707	-1058.0395144500994	0.5437192118226601	0.0113206750682575	0.5357142857142857	0.5517241379310345	0.5615763546798029	0.0139331385455477	0.5517241379310345	0.5714285714285714	0.5180110837438423	0.0376630151309337	0.4913793103448275	0.5446428571428571	0.5614035087719298	-0.0032380693829644	0.0032380693829644	-700.9554715340906	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0033808067379968	0.0017763454568623	0.0049852680191313	patched_minus_baseline
exclusive_just_to_only	attn	utterance_final	prompt_without	necessity	gold	5	localized	2	0,1	28.5	1.0	5.0	-24.511046777511467	0.9788044025299012	-25.203166007995605	-23.818927547027325	-24.893282067305936	0.90102333121471	-25.53040177481515	-24.25616235979672	-24.556186855426564	0.9857076967182448	-25.253187452043807	-23.85918625880932	-2.0329566609329666	0.2305680489148546	-2.195992891845612	-1.8699204300203212	-2.065469922442567	0.2293917529844469	-2.227674386526139	-1.9032654583589952	-2.036771872555569	0.2312399281584511	-2.2002831938375005	-1.8732605512736389	-0.0038152116226026	0.0006718792435967	-0.0042903019918884	-0.0033401212533168	-0.0038152116226026	0.0006718792435967	-0.0042903019918884	-0.0033401212533168	-3515.7990265409912	2341.6020500099166	-5171.561714943325	-1860.036338138658	0.562192118226601	0.0635699446140614	0.5172413793103449	0.6071428571428571	0.5431034482758621	0.0609574811367713	0.5	0.5862068965517241	0.5258620689655172	0.0365744886820628	0.5	0.5517241379310345	0.543859649122807	-0.0036685773793462	0.0036685773793462	-2262.3188381314394	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0038152116226026	0.0033401212533168	0.0042903019918884	patched_minus_baseline
exclusive_just_to_only	attn	utterance_final	prompt_without	necessity	gold	10	localized	2	0,1	28.5	1.0	10.0	-24.511046777511467	0.9788044025299012	-25.203166007995605	-23.818927547027325	-24.893282067305936	0.90102333121471	-25.53040177481515	-24.25616235979672	-24.59581423833453	0.9610749092353084	-25.275396823883057	-23.916231652785992	-2.0329566609329666	0.2305680489148546	-2.195992891845612	-1.8699204300203212	-2.065469922442567	0.2293917529844469	-2.227674386526139	-1.9032654583589952	-2.0394020796388874	0.2298323266072027	-2.2019180763187216	-1.8768860829590528	-0.0064454187059203	0.0007357223076521	-0.0069656529387313	-0.0059251844731092	-0.0064454187059203	0.0007357223076521	-0.0069656529387313	-0.0059251844731092	-6325.360145612194	3382.6033441725517	-8717.221908340898	-3933.4983828834897	0.5264778325123153	0.0130623173864509	0.5172413793103449	0.5357142857142857	0.5966748768472906	0.0148039597046444	0.5862068965517241	0.6071428571428571	0.5743534482758621	0.016763307312612	0.5625	0.5862068965517241	0.5964912280701754	-0.0057479629468229	0.0057479629468229	-6339.951033630922	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0064454187059203	0.0059251844731092	0.0069656529387313	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	1	localized	2	0,1	28.5	1.0	1.0	-24.511046777511467	0.9788044025299012	-25.203166007995605	-23.818927547027325	-24.893282067305936	0.90102333121471	-25.53040177481515	-24.25616235979672	-24.510050583061915	0.9695609193190078	-25.19563368388585	-23.82446748223798	-2.0329566609329666	0.2305680489148546	-2.195992891845612	-1.8699204300203212	-2.065469922442567	0.2293917529844469	-2.227674386526139	-1.9032654583589952	-2.033060530096851	0.2299155084263999	-2.1956353452051114	-1.870485714988591	-0.0001038691638844	0.0006525404884546	-0.0005652849682695	0.0003575466405005	-0.0001038691638844	0.0006525404884546	-0.0005652849682695	0.0003575466405005	-433.0981773112196	273.18785029054504	-626.2711587894394	-239.9251958329999	0.5080049261083743	0.061828302295868	0.4642857142857143	0.5517241379310345	0.5424876847290641	0.1105942872052851	0.4642857142857143	0.6206896551724138	0.5338669950738917	0.0984027909779308	0.4642857142857143	0.603448275862069	0.543859649122807	-0.0002753735319136	0.0002753735319136	-428.8181797352077	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0001038691638844	-0.0003575466405005	0.0005652849682695	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	3	localized	2	0,1	28.5	1.0	3.0	-24.511046777511467	0.9788044025299012	-25.203166007995605	-23.818927547027325	-24.893282067305936	0.90102333121471	-25.53040177481515	-24.25616235979672	-24.52637394690161	0.9720089984603862	-25.213688101087296	-23.83905979271593	-2.0329566609329666	0.2305680489148546	-2.195992891845612	-1.8699204300203212	-2.065469922442567	0.2293917529844469	-2.227674386526139	-1.9032654583589952	-2.0340849780329284	0.2304365713341293	-2.1970282402566688	-1.871141715809188	-0.0011283170999614	0.0001314775807253	-0.0012212857888663	-0.0010353484110565	-0.0011283170999614	0.0001314775807253	-0.0012212857888663	-0.0010353484110565	-793.3712700580759	62.60290464332467	-837.6382084533456	-749.1043316628062	0.5086206896551724	0.0121914962273542	0.5	0.5172413793103449	0.4735221674876847	0.013062317386451	0.4642857142857143	0.4827586206896552	0.4778325123152709	0.0191580655001281	0.4642857142857143	0.4913793103448275	0.4736842105263157	-0.0006822254570426	0.0006822254570426	-679.3031254711236	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0011283170999614	0.0010353484110565	0.0012212857888663	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	5	localized	2	0,1	28.5	1.0	5.0	-24.511046777511467	0.9788044025299012	-25.203166007995605	-23.818927547027325	-24.893282067305936	0.90102333121471	-25.53040177481515	-24.25616235979672	-24.52913472775755	0.9623278972547076	-25.209603309631348	-23.84866614588376	-2.0329566609329666	0.2305680489148546	-2.195992891845612	-1.8699204300203212	-2.065469922442567	0.2293917529844469	-2.227674386526139	-1.9032654583589952	-2.033542085250666	0.2295914699263193	-2.1958877705381536	-1.8711963999631784	-0.0005854243176994	0.0009765789885354	-0.0012759699428571	0.0001051213074582	-0.0005854243176994	0.0009765789885354	-0.0012759699428571	0.0001051213074582	-1435.7462317805753	694.5690256693989	-1926.8806998335403	-944.61176372761	0.4901477832512315	0.0870821159096733	0.4285714285714285	0.5517241379310345	0.4199507389162561	0.0888237582278668	0.3571428571428571	0.4827586206896552	0.4639778325123153	0.0753260302618674	0.4107142857142857	0.5172413793103449	0.4210526315789473	-0.0001214917060434	0.0001214917060434	-930.0578187911432	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0005854243176994	-0.0001051213074582	0.0012759699428571	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	10	localized	2	0,1	28.5	1.0	10.0	-24.511046777511467	0.9788044025299012	-25.203166007995605	-23.818927547027325	-24.893282067305936	0.90102333121471	-25.53040177481515	-24.25616235979672	-24.547174205040108	0.9422636196999308	-25.213455200195312	-23.880893209884903	-2.0329566609329666	0.2305680489148546	-2.195992891845612	-1.8699204300203212	-2.065469922442567	0.2293917529844469	-2.227674386526139	-1.9032654583589952	-2.0357678186337558	0.2297967822424396	-2.198258681652233	-1.873276955615278	-0.0028111577007887	0.0007712666724152	-0.0033565255949567	-0.0022657898066206	-0.0028111577007887	0.0007712666724152	-0.0033565255949567	-0.0022657898066206	-1906.6792439012656	3615.0539053823854	-4462.908374752063	649.5498869495312	0.4556650246305418	0.0383161310002563	0.4285714285714285	0.4827586206896552	0.4217980295566502	0.0600866599776746	0.3793103448275862	0.4642857142857143	0.4433497536945813	0.0296079194092889	0.4224137931034483	0.4642857142857143	0.4210526315789473	-0.0009821211000988	0.0009821211000988	-1564.7038984235314	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0028111577007887	0.0022657898066206	0.0033565255949567	patched_minus_baseline
exclusive_just_to_only	resid	utterance_final	prompt_without	necessity	gold	1	localized	2	0,1	28.5	1.0	1.0	-24.511046777511467	0.9788044025299012	-25.203166007995605	-23.818927547027325	-24.893282067305936	0.90102333121471	-25.53040177481515	-24.25616235979672	-24.544553498622815	0.9726227545713196	-25.23230164391654	-23.8568053533291	-2.0329566609329666	0.2305680489148546	-2.195992891845612	-1.8699204300203212	-2.065469922442567	0.2293917529844469	-2.227674386526139	-1.9032654583589952	-2.036883635733837	0.2318406390651747	-2.200819723771445	-1.8729475476962292	-0.0039269748008703	0.00127259015032	-0.0048268319258329	-0.0030271176759078	-0.0039269748008703	0.00127259015032	-0.0048268319258329	-0.0030271176759078	-3206.191634311759	1635.9800446695804	-4363.00421778349	-2049.379050840028	0.5431034482758621	0.0609574811367713	0.5	0.5862068965517241	0.5948275862068966	0.1341064585008969	0.5	0.6896551724137931	0.5512623152709359	0.1103765819155109	0.4732142857142857	0.6293103448275862	0.5964912280701754	-0.0033580560137886	0.0033580560137886	-2124.81234003167	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0039269748008703	0.0030271176759078	0.0048268319258329	patched_minus_baseline
exclusive_just_to_only	resid	utterance_final	prompt_without	necessity	gold	3	localized	2	0,1	28.5	1.0	3.0	-24.511046777511467	0.9788044025299012	-25.203166007995605	-23.818927547027325	-24.893282067305936	0.90102333121471	-25.53040177481515	-24.25616235979672	-24.56734004719504	0.964109284673906	-25.24906826019287	-23.88561183419721	-2.0329566609329666	0.2305680489148546	-2.195992891845612	-1.8699204300203212	-2.065469922442567	0.2293917529844469	-2.227674386526139	-1.9032654583589952	-2.038121302610998	0.2313406512056486	-2.201703845842624	-1.874538759379372	-0.0051646416780313	0.0007726022907937	-0.0057109539970119	-0.0046183293590508	-0.0051646416780313	0.0007726022907937	-0.0057109539970119	-0.0046183293590508	-4573.041769464751	1725.986723698866	-5793.498686030172	-3352.5848528993315	0.5782019704433498	0.0600866599776746	0.5357142857142857	0.6206896551724138	0.5597290640394088	0.1349772796599936	0.4642857142857143	0.6551724137931034	0.5294027093596059	0.1047162443813821	0.4553571428571428	0.603448275862069	0.5614035087719298	-0.0035636879910838	0.0035636879910838	-2299.060064480982	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0051646416780313	0.0046183293590508	0.0057109539970119	patched_minus_baseline
