particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	n_folds	train_folds	mean_items_per_fold	mean_member_targets_per_item	mean_selected_sites	baseline_log_prob_mean	baseline_log_prob_mean_sd	baseline_log_prob_mean_ci_low	baseline_log_prob_mean_ci_high	reference_log_prob_mean	reference_log_prob_mean_sd	reference_log_prob_mean_ci_low	reference_log_prob_mean_ci_high	patched_log_prob_mean	patched_log_prob_mean_sd	patched_log_prob_mean_ci_low	patched_log_prob_mean_ci_high	baseline_log_prob_per_token_mean	baseline_log_prob_per_token_mean_sd	baseline_log_prob_per_token_mean_ci_low	baseline_log_prob_per_token_mean_ci_high	reference_log_prob_per_token_mean	reference_log_prob_per_token_mean_sd	reference_log_prob_per_token_mean_ci_low	reference_log_prob_per_token_mean_ci_high	patched_log_prob_per_token_mean	patched_log_prob_per_token_mean_sd	patched_log_prob_per_token_mean_ci_low	patched_log_prob_per_token_mean_ci_high	patched_metric_change_mean	patched_metric_change_mean_sd	patched_metric_change_mean_ci_low	patched_metric_change_mean_ci_high	effect_score_mean	effect_score_mean_sd	effect_score_mean_ci_low	effect_score_mean_ci_high	normalized_effect_mean	normalized_effect_mean_sd	normalized_effect_mean_ci_low	normalized_effect_mean_ci_high	effect_positive_fraction	effect_positive_fraction_sd	effect_positive_fraction_ci_low	effect_positive_fraction_ci_high	localized_stronger_than_random_mean_fraction	localized_stronger_than_random_mean_fraction_sd	localized_stronger_than_random_mean_fraction_ci_low	localized_stronger_than_random_mean_fraction_ci_high	localized_random_cdf_mean	localized_random_cdf_mean_sd	localized_random_cdf_mean_ci_low	localized_random_cdf_mean_ci_high	localized_stronger_than_random_mean_fraction_items	patched_metric_change_localized_minus_random_mean_mean	effect_score_localized_minus_random_mean_mean	normalized_effect_localized_minus_random_mean_mean	source_path	direction	group	condition	effect_score_original_mean	effect_score_original_ci_low	effect_score_original_ci_high	metric_sign_convention
exclusive_just_to_only	attn	utterance_final	prompt_without	necessity	generated	1	localized	2	0,1	28.5	8.780172413793103	1.0	-21.93150251258704	1.8188511061694956	-23.21762446372814	-20.645380561445933	-23.117028832235228	2.0235115889566493	-24.54786759859604	-21.686190065874413	-21.946044124421164	1.822754370679717	-23.23492610036621	-20.65716214847612	-2.176545355864718	0.0935256197433294	-2.2426779557999006	-2.110412755929535	-2.290091055245671	0.0868233739632393	-2.351484451740573	-2.228697658750769	-2.178190538866668	0.0935361697957675	-2.244330598815472	-2.1120504789178645	-0.00164518300195	1.055005243805152e-05	-0.0016526430155708	-0.0016377229883291	-0.00164518300195	1.055005243805152e-05	-0.0016526430155708	-0.0016377229883291	0.0169086884765567	0.0007106517757751	0.0164061817868439	0.0174111951662696	0.7185960591133005	0.0566033753412876	0.6785714285714286	0.7586206896551724	0.666256157635468	0.0330912040456758	0.6428571428571429	0.6896551724137931	0.6437807881773399	0.0770676725800609	0.5892857142857143	0.6982758620689655	0.6666666666666666	-0.0010702209458758	0.0010702209458758	0.0118986091159768	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.00164518300195	0.0016377229883291	0.0016526430155708	patched_minus_baseline
exclusive_just_to_only	attn	utterance_final	prompt_without	necessity	generated	3	localized	2	0,1	28.5	8.780172413793103	3.0	-21.93150251258704	1.8188511061694956	-23.21762446372814	-20.645380561445933	-23.117028832235228	2.0235115889566493	-24.54786759859604	-21.686190065874413	-21.9794309127725	1.8273560016336816	-23.27156673316961	-20.68729509237539	-2.176545355864718	0.0935256197433294	-2.2426779557999006	-2.110412755929535	-2.290091055245671	0.0868233739632393	-2.351484451740573	-2.228697658750769	-2.182167339839914	0.0929331600806702	-2.2478810075300517	-2.116453672149777	-0.0056219839751962	0.0005924596626588	-0.0060409162202417	-0.0052030517301507	-0.0056219839751962	0.0005924596626588	-0.0060409162202417	-0.0052030517301507	0.0505684951344559	0.004012219926862	0.0477314272165599	0.0534055630523518	0.8066502463054187	0.0296079194092889	0.7857142857142857	0.8275862068965517	0.7358374384236454	0.0809863677959962	0.6785714285714286	0.7931034482758621	0.7527709359605912	0.1301877632849616	0.6607142857142857	0.8448275862068966	0.7368421052631579	-0.0040067095915447	0.0040067095915447	0.0352892314189433	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0056219839751962	0.0052030517301507	0.0060409162202417	patched_minus_baseline
exclusive_just_to_only	attn	utterance_final	prompt_without	necessity	generated	5	localized	2	0,1	28.5	8.780172413793103	5.0	-21.93150251258704	1.8188511061694956	-23.21762446372814	-20.645380561445933	-23.117028832235228	2.0235115889566493	-24.54786759859604	-21.686190065874413	-22.024212390976903	1.831681138423451	-23.319406544927624	-20.72901823702619	-2.176545355864718	0.0935256197433294	-2.2426779557999006	-2.110412755929535	-2.290091055245671	0.0868233739632393	-2.351484451740573	-2.228697658750769	-2.1864293104868384	0.0921106881933123	-2.251561402728089	-2.121297218245588	-0.0098839546221201	0.0014149315500169	-0.0108844623160519	-0.0088834469281884	-0.0098839546221201	0.0014149315500169	-0.0108844623160519	-0.0088834469281884	0.0872309505361481	0.0081024422320339	0.0815016586897046	0.0929602423825916	0.9298029556650248	0.0017416423181934	0.9285714285714286	0.9310344827586208	0.8589901477832512	0.0531200907049007	0.8214285714285714	0.896551724137931	0.8500615763546798	0.0657469975118033	0.8035714285714286	0.896551724137931	0.8596491228070176	-0.0075468210333433	0.0075468210333433	0.0652549296249862	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0098839546221201	0.0088834469281884	0.0108844623160519	patched_minus_baseline
exclusive_just_to_only	attn	utterance_final	prompt_without	necessity	generated	10	localized	2	0,1	28.5	8.780172413793103	10.0	-21.93150251258704	1.8188511061694956	-23.21762446372814	-20.645380561445933	-23.117028832235228	2.0235115889566493	-24.54786759859604	-21.686190065874413	-22.12578217404563	1.8265923279592664	-23.41737799560895	-20.83418635248231	-2.176545355864718	0.0935256197433294	-2.2426779557999006	-2.110412755929535	-2.290091055245671	0.0868233739632393	-2.351484451740573	-2.228697658750769	-2.1972797831307007	0.0927797197564879	-2.262884952127101	-2.1316746141343006	-0.0207344272659829	0.0007458999868415	-0.0212618582047655	-0.0202069963272003	-0.0207344272659829	0.0007458999868415	-0.0212618582047655	-0.0202069963272003	0.1818037240486788	0.0009365850810655	0.1811414583866992	0.1824659897106584	0.9470443349753694	0.026124634772902	0.9285714285714286	0.9655172413793104	0.9476600985221676	0.0235121712956118	0.9310344827586208	0.9642857142857144	0.9427339901477833	0.0200288866592248	0.9285714285714286	0.956896551724138	0.9473684210526316	-0.0188670565616782	0.0188670565616782	0.1659821250820278	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0207344272659829	0.0202069963272003	0.0212618582047655	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	1	localized	2	0,1	28.5	8.780172413793103	1.0	-21.93150251258704	1.8188511061694956	-23.21762446372814	-20.645380561445933	-23.117028832235228	2.0235115889566493	-24.54786759859604	-21.686190065874413	-21.938524086742905	1.814332733866678	-23.22145106618876	-20.655597107297048	-2.176545355864718	0.0935256197433294	-2.2426779557999006	-2.110412755929535	-2.290091055245671	0.0868233739632393	-2.351484451740573	-2.228697658750769	-2.1774352635930248	0.0941563229326133	-2.2440138380302663	-2.110856689155784	-0.0008899077283071	0.0006307031892843	-0.001335882230366	-0.0004439332262481	-0.0008899077283071	0.0006307031892843	-0.001335882230366	-0.0004439332262481	0.0081544666470825	0.0074797104348152	0.0028655126773129	0.0134434206168521	0.5948275862068966	0.1341064585008969	0.5	0.6896551724137931	0.5954433497536946	0.0844696524323831	0.5357142857142857	0.6551724137931034	0.573429802955665	0.0912185164153828	0.5089285714285714	0.6379310344827587	0.5964912280701754	-0.0008359156898706	0.0008359156898706	0.0087091042971368	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0008899077283071	0.0004439332262481	0.001335882230366	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	3	localized	2	0,1	28.5	8.780172413793103	3.0	-21.93150251258704	1.8188511061694956	-23.21762446372814	-20.645380561445933	-23.117028832235228	2.0235115889566493	-24.54786759859604	-21.686190065874413	-21.95828458029151	1.8335090758548795	-23.254771281195577	-20.661797879387446	-2.176545355864718	0.0935256197433294	-2.2426779557999006	-2.110412755929535	-2.290091055245671	0.0868233739632393	-2.351484451740573	-2.228697658750769	-2.1799625301745382	0.0913419139110019	-2.244551016907565	-2.115374043441511	-0.00341717430982	0.0021837058323269	-0.0049612875119751	-0.001873061107665	-0.00341717430982	0.0021837058323269	-0.0049612875119751	-0.001873061107665	0.0265364306166413	0.0169411423816167	0.0145572339575533	0.0385156272757293	0.6841133004926109	0.0078373904318706	0.6785714285714286	0.6896551724137931	0.6490147783251232	0.0087082115909672	0.6428571428571429	0.6551724137931034	0.6399322660098523	0.0337443199149984	0.6160714285714286	0.6637931034482759	0.6491228070175439	-0.0033588290803609	0.0033588290803609	0.0248407486310252	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.00341717430982	0.001873061107665	0.0049612875119751	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	5	localized	2	0,1	28.5	8.780172413793103	5.0	-21.93150251258704	1.8188511061694956	-23.21762446372814	-20.645380561445933	-23.117028832235228	2.0235115889566493	-24.54786759859604	-21.686190065874413	-21.955974221557263	1.8281150609447196	-23.248646777940536	-20.663301665174	-2.176545355864718	0.0935256197433294	-2.2426779557999006	-2.110412755929535	-2.290091055245671	0.0868233739632393	-2.351484451740573	-2.228697658750769	-2.1800721508741296	0.091943248802831	-2.2450858455869334	-2.115058456161326	-0.0035267950094114	0.0015823709404985	-0.0046457002317905	-0.0024078897870324	-0.0035267950094114	0.0015823709404985	-0.0046457002317905	-0.0024078897870324	0.0254782051809399	0.0028872875159533	0.023436584599174	0.0275198257627057	0.6650246305418719	0.1323648161827035	0.5714285714285714	0.7586206896551724	0.6477832512315271	0.1079818237279949	0.5714285714285714	0.7241379310344828	0.6306958128078818	0.0711896297561579	0.5803571428571429	0.6810344827586207	0.6491228070175439	-0.0031609082302743	0.0031609082302743	0.0226301696171989	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0035267950094114	0.0024078897870324	0.0046457002317905	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	10	localized	2	0,1	28.5	8.780172413793103	10.0	-21.93150251258704	1.8188511061694956	-23.21762446372814	-20.645380561445933	-23.117028832235228	2.0235115889566493	-24.54786759859604	-21.686190065874413	-21.97573973970832	1.8412631259593768	-23.27770938202293	-20.6737700973937	-2.176545355864718	0.0935256197433294	-2.2426779557999006	-2.110412755929535	-2.290091055245671	0.0868233739632393	-2.351484451740573	-2.228697658750769	-2.182013281595421	0.0920530607436803	-2.2471046250762545	-2.1169219381145874	-0.0054679257307029	0.0014725589996491	-0.0065091821850521	-0.0044266692763538	-0.0054679257307029	0.0014725589996491	-0.0065091821850521	-0.0044266692763538	0.0466976276903555	0.0068196802240626	0.041875385558397	0.051519869822314	0.6483990147783252	0.0583450176594812	0.6071428571428571	0.6896551724137931	0.5966748768472906	0.0148039597046444	0.5862068965517241	0.6071428571428571	0.6097598522167488	0.0089259168807415	0.603448275862069	0.6160714285714286	0.5964912280701754	-0.0039762256614255	0.0039762256614255	0.0340309253932855	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0054679257307029	0.0044266692763538	0.0065091821850521	patched_minus_baseline
exclusive_just_to_only	resid	utterance_final	prompt_without	necessity	generated	1	localized	2	0,1	28.5	8.780172413793103	1.0	-21.93150251258704	1.8188511061694956	-23.21762446372814	-20.645380561445933	-23.117028832235228	2.0235115889566493	-24.54786759859604	-21.686190065874413	-22.01805443655256	1.827700228836824	-23.31043366233928	-20.72567521076584	-2.176545355864718	0.0935256197433294	-2.2426779557999006	-2.110412755929535	-2.290091055245671	0.0868233739632393	-2.351484451740573	-2.228697658750769	-2.1865990969176385	0.0925921088555617	-2.252071604973769	-2.121126588861508	-0.0100537410529205	0.0009335108877675	-0.0107138329319724	-0.0093936491738686	-0.0100537410529205	0.0009335108877675	-0.0107138329319724	-0.0093936491738686	0.0877552198630753	0.0049741519928033	0.0842379632583115	0.0912724764678391	0.9464285714285714	0.0757614408414157	0.8928571428571429	1.0	0.8596059113300492	0.0034832846363869	0.8571428571428571	0.8620689655172413	0.7883312807881773	0.0920893375744795	0.7232142857142857	0.853448275862069	0.8596491228070176	-0.0068064576421951	0.0068064576421951	0.058581056516152	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0100537410529205	0.0093936491738686	0.0107138329319724	patched_minus_baseline
exclusive_just_to_only	resid	utterance_final	prompt_without	necessity	generated	3	localized	2	0,1	28.5	8.780172413793103	3.0	-21.93150251258704	1.8188511061694956	-23.21762446372814	-20.645380561445933	-23.117028832235228	2.0235115889566493	-24.54786759859604	-21.686190065874413	-22.053844589622983	1.8262400236767065	-23.345191294439065	-20.762497884806905	-2.176545355864718	0.0935256197433294	-2.2426779557999006	-2.110412755929535	-2.290091055245671	0.0868233739632393	-2.351484451740573	-2.228697658750769	-2.189951641728092	0.0927970437134638	-2.2555690606119465	-2.124334222844237	-0.0134062858633735	0.0007285760298652	-0.0139214669147012	-0.0128911048120458	-0.0134062858633735	0.0007285760298652	-0.0139214669147012	-0.0128911048120458	0.1179906839320099	0.0071316157522414	0.1129478700727831	0.1230334977912366	0.9291871921182266	0.0513784483867072	0.8928571428571429	0.9655172413793104	0.8411330049261083	0.078373904318706	0.7857142857142857	0.896551724137931	0.7883312807881773	0.0920893375744795	0.7232142857142857	0.853448275862069	0.8421052631578947	-0.005703556266672	0.005703556266672	0.0507720846144734	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only/component_patching/eval_summary.tsv	just_to_only	exclusive	cross	0.0134062858633735	0.0128911048120458	0.0139214669147012	patched_minus_baseline
