particle	train_fold	component	layer_index	position_label	position_order	corruption_mode	mean_clean_log_prob_per_token	mean_corrupted_log_prob_per_token	mean_patched_log_prob_per_token	mean_raw_delta_per_token	mean_restoration	mean_restoration_clipped	row_count	source_item_count	site_metric	ranking_score
only	0	attn	7	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.784939118421578	0.018960393675166	0.0655990292986877	0.0785825374593416	29	29	restoration	0.0655990292986877
only	0	attn	12	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.7947529354689298	0.009146576627814	0.0486627886424214	0.0497561743742096	29	29	restoration	0.0486627886424214
only	0	attn	5	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.7971942307943767	0.006705281302367	0.0360870263381629	0.039881262887406	29	29	restoration	0.0360870263381629
only	0	attn	4	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.7970984308952764	0.0068010812014674	0.0359582185897536	0.0425797829804057	29	29	restoration	0.0359582185897536
only	0	attn	6	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.7942693301517467	0.009630181944997	0.0359102634182488	0.0442959347808105	29	29	restoration	0.0359102634182488
only	0	attn	3	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.800899812549812	0.0029996995469316	0.0228394857525639	0.0281486667334839	29	29	restoration	0.0228394857525639
only	0	attn	9	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.801510975654489	0.0023885364422546	0.0207317203682805	0.0320414553359887	29	29	restoration	0.0207317203682805
only	0	attn	10	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.7986169667174714	0.0052825453792721	0.0181684203425131	0.0217735950514259	29	29	restoration	0.0181684203425131
only	0	attn	13	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.799848352716766	0.004051159379978	0.0167324416125469	0.0188983059550756	29	29	restoration	0.0167324416125469
only	0	attn	15	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.8023637612934005	0.0015357508033436	0.0091687115849732	0.0130263871925467	29	29	restoration	0.0091687115849732
only	0	attn	16	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.8028312925947136	0.00106821950203	0.0048626787985733	0.0086478458304182	29	29	restoration	0.0048626787985733
only	0	attn	19	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.803372565294372	0.0005269468023717	0.0046890227786685	0.0067761797147814	29	29	restoration	0.0046890227786685
only	0	attn	20	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.8031362294006983	0.0007632826960453	0.0042258619776254	0.0080309842654204	29	29	restoration	0.0042258619776254
only	0	attn	14	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.8042365111882184	-0.0003369990914744	0.0040515103213601	0.0104789878154326	29	29	restoration	0.0040515103213601
only	0	attn	21	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.803275288996031	0.0006242231007126	0.0039109125253537	0.0059692894013854	29	29	restoration	0.0039109125253537
only	0	attn	25	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.803366976968604	0.0005325351281407	0.0034578558542359	0.0061667151482656	29	29	restoration	0.0034578558542359
only	0	attn	30	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.80343438069801	0.0004651313987341	0.0032644093185461	0.004267484603034	29	29	restoration	0.0032644093185461
only	0	attn	1	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.803388817589828	0.0005106945069161	0.00303468712108	0.0136017931397203	29	29	restoration	0.00303468712108
only	0	attn	2	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.8033437290693373	0.0005557830274064	0.0026270161312189	0.0091172900875706	29	29	restoration	0.0026270161312189
only	0	attn	24	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.803581424891102	0.0003180872056415	0.0019396185906386	0.0048978404648362	29	29	restoration	0.0019396185906386
only	0	attn	0	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.80398704289062	-8.753079387621806e-05	0.0018773747725206	0.0068135008160266	29	29	restoration	0.0018773747725206
only	0	attn	17	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.803766896584915	0.0001326155118286	0.0016130532770337	0.0057995399828594	29	29	restoration	0.0016130532770337
only	0	attn	22	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.8039252635889853	-2.5751492241656545e-05	0.0011605011264293	0.0046226438100704	29	29	restoration	0.0011605011264293
only	0	attn	26	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.80377703961918	0.0001224724775641	0.0010279313121744	0.0041514049412047	29	29	restoration	0.0010279313121744
only	0	attn	28	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.803832713231258	6.679886548619814e-05	0.0005377007652516	0.003175585844362	29	29	restoration	0.0005377007652516
only	0	attn	31	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.803899512096744	0.0	0.0	0.0	29	29	restoration	0.0
only	0	attn	27	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.8038879222066013	1.1589890142930218e-05	-0.0002387217874683	0.0042346970262114	29	29	restoration	-0.0002387217874683
only	0	attn	18	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.804090262698307	-0.0001907506015634	-0.0007547828449977	0.0045921223557449	29	29	restoration	-0.0007547828449977
only	0	attn	29	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.8038060516354477	9.346046129647726e-05	-0.0010369766114287	0.0029392398429828	29	29	restoration	-0.0010369766114287
only	0	attn	23	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.8040995744162145	-0.0002000623194708	-0.0011136326990687	0.0030423546136551	29	29	restoration	-0.0011136326990687
only	0	attn	11	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.803965400588456	-6.588849171131971e-05	-0.0014615968662402	0.0105353821560228	29	29	restoration	-0.0014615968662402
only	0	attn	8	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.804426497393672	-0.0005269852969277	-0.0041811240788928	0.0233631721323631	29	29	restoration	-0.0041811240788928
only	0	mlp	5	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.799508059566221	0.0043914525305227	0.0247628132409373	0.0383616394670086	29	29	restoration	0.0247628132409373
only	0	mlp	15	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.798499573789533	0.005399938307211	0.0237973380402242	0.0261365907194752	29	29	restoration	0.0237973380402242
only	0	mlp	9	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.802810737049554	0.00108877504719	0.0131516616077596	0.0457645973841708	29	29	restoration	0.0131516616077596
only	0	mlp	4	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.8017043488036184	0.0021951632931257	0.0122630617470212	0.0282914548754118	29	29	restoration	0.0122630617470212
only	0	mlp	2	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.802226816321867	0.0016726957748768	0.0109355855321113	0.0158674441099847	29	29	restoration	0.0109355855321113
only	0	mlp	16	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.8028013962034195	0.0010981158933244	0.0100083419021587	0.0125572302140681	29	29	restoration	0.0100083419021587
only	0	mlp	6	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.802608964902173	0.0012905471945704	0.0097119034880683	0.0287747033462411	29	29	restoration	0.0097119034880683
only	0	mlp	19	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.802979431157256	0.0009200809394873	0.0065672519813071	0.0105079165569049	29	29	restoration	0.0065672519813071
only	0	mlp	26	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.802893895357075	0.0010056167396691	0.0063859708772606	0.0084707386382393	29	29	restoration	0.0063859708772606
only	0	mlp	3	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.804169434351801	-0.0002699222550573	0.0062054249248733	0.0152510591810951	29	29	restoration	0.0062054249248733
only	0	mlp	7	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.8015943043957914	0.0023052077009526	0.0059798689116928	0.0293532897801656	29	29	restoration	0.0059798689116928
only	0	mlp	14	utterance_final	0	prompt_without	-2.5712871548467717	-2.803899512096744	-2.803989923568613	-9.041147186918264e-05	0.0051357274967434	0.0127680563584238	29	29	restoration	0.0051357274967434
