source_dataset	dataset_role	word	generated_from	analysis_metric	n_candidates	n_items	mean_candidates_per_item	mean_own_context_log_prob_advantage	median_own_context_log_prob_advantage	mean_own_context_log_prob_advantage_per_token	median_own_context_log_prob_advantage_per_token	own_context_win_rate	own_context_win_rate_per_token	weighted_own_context_win_rate	weighted_own_context_win_rate_per_token	weighted_own_context_log_prob_advantage	weighted_own_context_log_prob_advantage_per_token	top1_own_context_win_rate	top1_own_context_win_rate_per_token	top1_mean_own_context_log_prob_advantage	top1_mean_own_context_log_prob_advantage_per_token	mean_unique_samples_obtained	min_unique_samples_obtained	mean_sample_draw
just	discourse_particle	just	P	own_context_log_prob_advantage_per_token	2000	40	50.0	0.01530848843492499	0.0121956995555332	0.01530848843492499	0.0121956995555332	0.662	0.662	0.6636905087549116	0.6636905087549116	0.016752580032083644	0.016752580032083644	0.7	0.7	0.01155740360595788	0.01155740360595788	50.0	50	28.072
just	discourse_particle	just	P_prime	own_context_log_prob_advantage_per_token	2000	40	50.0	0.027515544525577588	0.014750917752583699	0.027515544525577588	0.014750917752583699	0.6915	0.6915	0.6933901555996296	0.6933901555996296	0.02661850332116732	0.02661850332116732	0.725	0.725	0.035337564593709736	0.035337564593709736	50.0	50	27.065
