left_group	right_group	scope	component	top_k	left_fold	right_fold	intersection_count	overlap_fraction	jaccard	selected_sites_left	selected_sites_right	site_universe	expected_random_intersection	expected_random_overlap_fraction	expected_random_jaccard	intersection_enrichment	hypergeom_p_value	left_layers	right_layers	shared_layers
nonexclusive_just	only	fold_pair	mlp	5	1	0	2	0.4	0.25	5	5	32	0.78125	0.15625	0.0847457627118644	2.56	0.16335610996345148	5,7,4,28,23	5,15,9,4,2	4,5
nonexclusive_just	only	fold_pair	mlp	10	1	0	3	0.3	0.17647058823529413	10	10	32	3.125	0.3125	0.18518518518518517	0.96	0.6898186142660679	5,7,4,28,23,12,20,24,21,26	5,15,9,4,2,16,6,19,26,3	4,5,26
nonexclusive_just	only	fold_pair	mlp	1	1	1	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	5	6	
nonexclusive_just	only	fold_pair	mlp	3	1	1	1	0.3333333333333333	0.2	3	3	32	0.28125	0.09375	0.04918032786885246	3.5555555555555554	0.2633064516129032	5,7,4	6,9,7	7
nonexclusive_just	only	fold_pair	mlp	5	1	1	1	0.2	0.1111111111111111	5	5	32	0.78125	0.15625	0.0847457627118644	1.28	0.5991081360241539	5,7,4,28,23	6,9,7,8,3	7
nonexclusive_just	only	fold_pair	mlp	10	1	1	2	0.2	0.1111111111111111	10	10	32	3.125	0.3125	0.18518518518518517	0.64	0.912871634902152	5,7,4,28,23,12,20,24,21,26	6,9,7,8,3,23,29,17,19,14	7,23
nonexclusive_just	only	fold_pair	resid	1	0	0	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	9	7	
nonexclusive_just	only	fold_pair	resid	3	0	0	1	0.3333333333333333	0.2	3	3	32	0.28125	0.09375	0.04918032786885246	3.5555555555555554	0.2633064516129032	9,8,11	7,12,11	11
nonexclusive_just	only	fold_pair	resid	5	0	0	4	0.8	0.6666666666666666	5	5	32	0.78125	0.15625	0.0847457627118644	5.12	0.0006753535674559033	9,8,11,12,10	7,12,11,8,10	8,10,11,12
nonexclusive_just	only	fold_pair	resid	10	0	0	10	1.0	1.0	10	10	32	3.125	0.3125	0.18518518518518517	3.2	1.5500934396325412e-08	9,8,11,12,10,7,6,5,4,13	7,12,11,8,10,9,6,13,5,4	4,5,6,7,8,9,10,11,12,13
nonexclusive_just	only	fold_pair	resid	1	0	1	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	9	12	
nonexclusive_just	only	fold_pair	resid	3	0	1	1	0.3333333333333333	0.2	3	3	32	0.28125	0.09375	0.04918032786885246	3.5555555555555554	0.2633064516129032	9,8,11	12,10,8	8
nonexclusive_just	only	fold_pair	resid	5	0	1	4	0.8	0.6666666666666666	5	5	32	0.78125	0.15625	0.0847457627118644	5.12	0.0006753535674559033	9,8,11,12,10	12,10,8,9,7	8,9,10,12
nonexclusive_just	only	fold_pair	resid	10	0	1	9	0.9	0.8181818181818182	10	10	32	3.125	0.3125	0.18518518518518517	2.88	3.425706501587916e-06	9,8,11,12,10,7,6,5,4,13	12,10,8,9,7,11,13,6,14,4	4,6,7,8,9,10,11,12,13
nonexclusive_just	only	fold_pair	resid	1	1	0	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	10	7	
nonexclusive_just	only	fold_pair	resid	3	1	0	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	10,11,12	7,12,11	11,12
nonexclusive_just	only	fold_pair	resid	5	1	0	4	0.8	0.6666666666666666	5	5	32	0.78125	0.15625	0.0847457627118644	5.12	0.0006753535674559033	10,11,12,9,8	7,12,11,8,10	8,10,11,12
nonexclusive_just	only	fold_pair	resid	10	1	0	8	0.8	0.6666666666666666	10	10	32	3.125	0.3125	0.18518518518518517	2.56	0.0001645579195513906	10,11,12,9,8,13,14,7,6,16	7,12,11,8,10,9,6,13,5,4	6,7,8,9,10,11,12,13
nonexclusive_just	only	fold_pair	resid	1	1	1	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	10	12	
nonexclusive_just	only	fold_pair	resid	3	1	1	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	10,11,12	12,10,8	10,12
nonexclusive_just	only	fold_pair	resid	5	1	1	4	0.8	0.6666666666666666	5	5	32	0.78125	0.15625	0.0847457627118644	5.12	0.0006753535674559033	10,11,12,9,8	12,10,8,9,7	8,9,10,12
nonexclusive_just	only	fold_pair	resid	10	1	1	9	0.9	0.8181818181818182	10	10	32	3.125	0.3125	0.18518518518518517	2.88	3.425706501587916e-06	10,11,12,9,8,13,14,7,6,16	12,10,8,9,7,11,13,6,14,4	6,7,8,9,10,11,12,13,14
