particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	effect_score_mean	effect_score_mean_ci_low	effect_score_mean_ci_high	method	run_label	run_label_pretty	run_dir	native_particle	effect_score_original_mean	effect_score_original_ci_low	effect_score_original_ci_high	metric_sign_convention
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	3	localized	-0.00341717430982	-0.0049612875119751	-0.001873061107665	component	transfer	Transfer	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only		0.00341717430982	0.001873061107665	0.0049612875119751	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	3	random_mean	-2.733316316129149e-05	-0.0002509077399852	0.0001962414136626	component	transfer	Transfer	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only		2.733316316129149e-05	-0.0001962414136626	0.0002509077399852	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	5	localized	-0.0035267950094114	-0.0046457002317905	-0.0024078897870324	component	transfer	Transfer	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0035267950094114	0.0024078897870324	0.0046457002317905	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	5	random_mean	-0.0003456444528202	-0.0003805518305086	-0.0003107370751317	component	transfer	Transfer	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0003456444528202	0.0003107370751317	0.0003805518305086	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	10	localized	-0.0054679257307029	-0.0065091821850521	-0.0044266692763538	component	transfer	Transfer	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0054679257307029	0.0044266692763538	0.0065091821850521	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	10	random_mean	-0.0014677968679996	-0.0017890228864851	-0.001146570849514	component	transfer	Transfer	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0014677968679996	0.001146570849514	0.0017890228864851	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	1	localized	-0.0001038691638844	-0.0005652849682695	0.0003575466405005	component	transfer	Transfer	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0001038691638844	-0.0003575466405005	0.0005652849682695	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	1	random_mean	0.0001627583900815	0.0001256534514585	0.0001998633287046	component	transfer	Transfer	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only		-0.0001627583900815	-0.0001998633287046	-0.0001256534514585	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	3	localized	-0.0011283170999614	-0.0012212857888663	-0.0010353484110565	component	transfer	Transfer	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0011283170999614	0.0010353484110565	0.0012212857888663	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	3	random_mean	-0.000443364873417	-0.0006917594239185	-0.0001949703229156	component	transfer	Transfer	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only		0.000443364873417	0.0001949703229156	0.0006917594239185	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	5	localized	-0.0005854243176994	-0.0012759699428571	0.0001051213074582	component	transfer	Transfer	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0005854243176994	-0.0001051213074582	0.0012759699428571	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	5	random_mean	-0.0004714290966327	-0.0007346750781128	-0.0002081831151526	component	transfer	Transfer	localization/results/component_transfer_runs/20260724_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0004714290966327	0.0002081831151526	0.0007346750781128	patched_minus_baseline
