particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	effect_score_mean	effect_score_mean_ci_low	effect_score_mean_ci_high	method	run_label	run_label_pretty	run_dir	native_particle	effect_score_original_mean	effect_score_original_ci_low	effect_score_original_ci_high	metric_sign_convention
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	3	localized	-0.0093950876713906	-0.0115104157356461	-0.007279759607135	component	transfer	Transfer	localization/results/component_transfer_runs/20260728_llama3_instruct_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0093950876713906	0.007279759607135	0.0115104157356461	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	3	random_mean	-0.0015800491371937	-0.0022391206604468	-0.0009209776139407	component	transfer	Transfer	localization/results/component_transfer_runs/20260728_llama3_instruct_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0015800491371937	0.0009209776139407	0.0022391206604468	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	5	localized	-0.0106614959152723	-0.0139000478449529	-0.0074229439855918	component	transfer	Transfer	localization/results/component_transfer_runs/20260728_llama3_instruct_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0106614959152723	0.0074229439855918	0.0139000478449529	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	5	random_mean	-0.0019763167764581	-0.0028187624988657	-0.0011338710540506	component	transfer	Transfer	localization/results/component_transfer_runs/20260728_llama3_instruct_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0019763167764581	0.0011338710540506	0.0028187624988657	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	10	localized	-0.0156692389554879	-0.017555376582472	-0.0137831013285039	component	transfer	Transfer	localization/results/component_transfer_runs/20260728_llama3_instruct_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0156692389554879	0.0137831013285039	0.017555376582472	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	generated	10	random_mean	-0.0022505127620869	-0.0025399238172963	-0.0019611017068774	component	transfer	Transfer	localization/results/component_transfer_runs/20260728_llama3_instruct_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0022505127620869	0.0019611017068774	0.0025399238172963	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	1	localized	0.0034530681781818	0.0012280503183087	0.005678086038055	component	transfer	Transfer	localization/results/component_transfer_runs/20260728_llama3_instruct_exclusive_just_only_cross_patch/exclusive_just_to_only		-0.0034530681781818	-0.005678086038055	-0.0012280503183087	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	1	random_mean	-0.0006024399539508	-0.0020521090263243	0.0008472291184226	component	transfer	Transfer	localization/results/component_transfer_runs/20260728_llama3_instruct_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0006024399539508	-0.0008472291184226	0.0020521090263243	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	3	localized	-0.0037890529452287	-0.0086018855974849	0.0010237797070273	component	transfer	Transfer	localization/results/component_transfer_runs/20260728_llama3_instruct_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0037890529452287	-0.0010237797070273	0.0086018855974849	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	3	random_mean	-0.0002109869987729	-0.0006595308950145	0.0002375568974685	component	transfer	Transfer	localization/results/component_transfer_runs/20260728_llama3_instruct_exclusive_just_only_cross_patch/exclusive_just_to_only		0.0002109869987729	-0.0002375568974685	0.0006595308950145	patched_minus_baseline
exclusive_just_to_only	mlp	utterance_final	prompt_without	necessity	gold	5	localized	0.0015360416712714	-0.0023474729670635	0.0054195563096064	component	transfer	Transfer	localization/results/component_transfer_runs/20260728_llama3_instruct_exclusive_just_only_cross_patch/exclusive_just_to_only		-0.0015360416712714	-0.0054195563096064	0.0023474729670635	patched_minus_baseline
