left_group	right_group	scope	component	top_k	left_fold	right_fold	intersection_count	overlap_fraction	jaccard	selected_sites_left	selected_sites_right	site_universe	expected_random_intersection	expected_random_overlap_fraction	expected_random_jaccard	intersection_enrichment	hypergeom_p_value	left_layers	right_layers	shared_layers
nonexclusive_just	only	fold_pair	mlp	5	1	1	3	0.6	0.42857142857142855	5	5	32	0.78125	0.15625	0.0847457627118644	3.84	0.018105434609883998	7,6,5,12,9	6,9,7,15,3	6,7,9
nonexclusive_just	only	fold_pair	mlp	10	1	1	5	0.5	0.3333333333333333	10	10	32	3.125	0.3125	0.18518518518518517	1.6	0.12970769577990163	7,6,5,12,9,14,26,0,3,22	6,9,7,15,3,14,4,18,16,23	3,6,7,9,14
nonexclusive_just	only	fold_pair	resid	1	0	0	1	1.0	1.0	1	1	32	0.03125	0.03125	0.015873015873015872	32.0	0.03125	8	8	8
nonexclusive_just	only	fold_pair	resid	3	0	0	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	8,10,9	8,7,9	8,9
nonexclusive_just	only	fold_pair	resid	5	0	0	3	0.6	0.42857142857142855	5	5	32	0.78125	0.15625	0.0847457627118644	3.84	0.018105434609883998	8,10,9,7,6	8,7,9,12,11	7,8,9
nonexclusive_just	only	fold_pair	resid	10	0	0	9	0.9	0.8181818181818182	10	10	32	3.125	0.3125	0.18518518518518517	2.88	3.425706501587916e-06	8,10,9,7,6,11,12,5,13,4	8,7,9,12,11,6,10,13,5,14	5,6,7,8,9,10,11,12,13
nonexclusive_just	only	fold_pair	resid	1	0	1	1	1.0	1.0	1	1	32	0.03125	0.03125	0.015873015873015872	32.0	0.03125	8	8	8
nonexclusive_just	only	fold_pair	resid	3	0	1	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	8,10,9	8,7,9	8,9
nonexclusive_just	only	fold_pair	resid	5	0	1	4	0.8	0.6666666666666666	5	5	32	0.78125	0.15625	0.0847457627118644	5.12	0.0006753535674559033	8,10,9,7,6	8,7,9,11,10	7,8,9,10
nonexclusive_just	only	fold_pair	resid	10	0	1	9	0.9	0.8181818181818182	10	10	32	3.125	0.3125	0.18518518518518517	2.88	3.425706501587916e-06	8,10,9,7,6,11,12,5,13,4	8,7,9,11,10,6,12,13,5,14	5,6,7,8,9,10,11,12,13
nonexclusive_just	only	fold_pair	resid	1	1	0	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	7	8	
nonexclusive_just	only	fold_pair	resid	3	1	0	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	7,6,8	8,7,9	7,8
nonexclusive_just	only	fold_pair	resid	5	1	0	4	0.8	0.6666666666666666	5	5	32	0.78125	0.15625	0.0847457627118644	5.12	0.0006753535674559033	7,6,8,12,11	8,7,9,12,11	7,8,11,12
nonexclusive_just	only	fold_pair	resid	10	1	0	9	0.9	0.8181818181818182	10	10	32	3.125	0.3125	0.18518518518518517	2.88	3.425706501587916e-06	7,6,8,12,11,10,9,5,13,4	8,7,9,12,11,6,10,13,5,14	5,6,7,8,9,10,11,12,13
nonexclusive_just	only	fold_pair	resid	1	1	1	0	0.0	0.0	1	1	32	0.03125	0.03125	0.015873015873015872	0.0	1.0	7	8	
nonexclusive_just	only	fold_pair	resid	3	1	1	2	0.6666666666666666	0.5	3	3	32	0.28125	0.09375	0.04918032786885246	7.111111111111111	0.017741935483870968	7,6,8	8,7,9	7,8
nonexclusive_just	only	fold_pair	resid	5	1	1	3	0.6	0.42857142857142855	5	5	32	0.78125	0.15625	0.0847457627118644	3.84	0.018105434609883998	7,6,8,12,11	8,7,9,11,10	7,8,11
nonexclusive_just	only	fold_pair	resid	10	1	1	9	0.9	0.8181818181818182	10	10	32	3.125	0.3125	0.18518518518518517	2.88	3.425706501587916e-06	7,6,8,12,11,10,9,5,13,4	8,7,9,11,10,6,12,13,5,14	5,6,7,8,9,10,11,12,13
